SCHOOLNAME,SCHOOLCODE,LEVEL,TYPE,WARD,LAT,LON,ENROLLMENT,ATRISKPERCENT,ATRISKCOUNT,DEANOFSTUDENTS,ISSCOORDINATOR,GUIDANCECOUNSELOR,ATTENDCOUNSELOR,PSYCH,SOCIALWORKER,INTERVENTIONCOACH,ENGLISHTEACHER,MATHTEACHER,READINGTEACHER,RESOURCETEACHER,SCIENCETEACHER,SOCIALSTUDIESTEACHER,ARTTEACHER,HEALTHTEACHER,MUSICTEACHER,LANGUAGETEACHER,SPEDTEACHER,SPEDAIDE,BEHAVIORTECH,ASSTPRINCIPALINTERVENTION,READINGSPECIALIST,ASSTPRINCIPALLITERACY,PWPSTUDENTSATISFACTION,EXTENDEDDAY,MIDDLEGRADEACTIVITIES,ECR,OTHER,STABLIZATION,NEWHEIGHTS,READINGPARTNERS,ATRISKTOTAL
Whittier EC ,338,campus,Regular school,4,38.96585727,-77.0192386,362,0.561,203,,46000,94600,,,,,,,,,,94600,,94600,,,283900,277700,,118700,,,34800,100000,28000,,,,,,1200000
J.O. Wilson ES ,339,es,Regular school,6,38.902758,-76.99658902,433,0.485,210,,,,,,,,,,,,,,,,,,,,,,94600,,46200,,,,,,,,140800
"King, M.L. ES ",344,es,Regular school,8,38.84244319,-76.99823899,410,0.81,332,,,,,,,,,,,,,,,,,,,,,,,,41200,100000,,,,42000,,29200,212400
Brookland EC @ Bunker Hill ,346,campus,Regular school,5,38.94201247,-76.98499564,249,0.458,114,89400,,94600,,,,,,,,,94600,,47300,94600,,,,,,,,,23200,100000,28000,,,,,,571800
Capitol Hill Montessori @ Logan ,360,campus,Regular school,6,38.89853031,-77.00256647,288,0.101,29,,,94600,50000,,,,94600,94600,,94600,,,47300,,,,,,,,,,33000,100000,28000,,,,,,636800
Langley ES ,370,es,Regular school,5,38.91516879,-77.00588662,280,0.575,161,,,,,,,,,,,,,,,,,,94600,61700,,,94600,,29100,,,,,,,,280100
Benjamin Banneker HS ,402,hs,Magnet School,1,38.92383276,-77.02397697,430,0.226,97,,,,,,,,,,,,,,,,,,,,,,,118700,44500,,,,,,,,163200
Browne EC ,404,campus,Regular school,5,38.90259888,-76.97066706,349,0.679,237,,46000,47300,,,,,94600,94600,,94600,,,47300,,,,94600,,39000,,,,34800,100000,28000,,,,,29200,750200
Deal MS ,405,ms,Regular school,3,38.95289674,-77.07519907,1248,0.085,106,,,94600,,,,,,189300,,,94600,94600,,,,141900,,,,,,,131000,100000,28000,,,,,,874100
Eliot-Hine MS ,407,ms,Regular school,6,38.89243149,-76.97897792,292,0.709,207,,,,,,47300,,,,,,94600,,47300,94600,47300,94600,,30900,78000,118700,94600,,27500,100000,10000,,,,,,885500
Hart MS ,413,ms,Regular school,8,38.83773787,-76.99717875,561,0.763,428,,46000,,,,94600,,94600,94600,,,,189300,94600,,,94600,189300,123400,,118700,,,57400,100000,28000,,,,,,1300000
Johnson MS ,416,ms,Regular school,8,38.85133691,-76.98370368,271,0.76,206,,,94600,50000,47300,,,,,,94600,,,,,,47300,,,,118700,94600,,28300,100000,28000,,,,,,703500
Kramer MS ,417,ms,Regular school,8,38.8712864,-76.9801713,368,0.791,291,,46000,94600,,,94600,,,,,94600,,,94600,,94600,94600,,61700,,118700,94600,,37100,100000,28000,,,,,,1100000
Kelly Miller MS ,421,ms,Regular school,7,38.89331541,-76.93245515,513,0.721,370,,46000,,50000,,,,,189300,94600,,94600,94600,94600,94600,,,,30900,,118700,,,57000,100000,28000,,,,,,1100000
Sousa MS ,427,ms,Regular school,7,38.88389441,-76.95315884,295,0.708,209,,,94600,,,,,,,,,,,,,94600,,,,39000,118700,,,28600,100000,28000,,,,,,503500
Stuart-Hobson MS ,428,ms,Regular school,6,38.8962977,-77.00000438,417,0.305,127,,,,,,,,94600,189300,94600,94600,189300,,,94600,,189300,,,,118700,,,42400,100000,28000,,,,,,1200000
Jefferson MS ,433,ms,Regular school,6,38.87987093,-77.02291066,299,0.625,187,,,47300,,,,,94600,94600,47300,,94600,,47300,94600,94600,,94600,30900,39000,118700,,,30700,100000,18000,,,,,,1000000
Columbia Heights EC ,442,campus,Magnet School,1,38.92954477,-77.03585831,1266,0.422,534,89400,,189300,,,,,94600,94600,,,,,,94600,,,,,,,,,127500,100000,80600,52600,,,68200,,991400
Anacostia HS ,450,hs,Regular school,8,38.87008406,-76.98307725,751,0.791,594,,,,,,,,,,,,,,,,,,,123400,,,,118700,77400,,97100,97100,,,,,513700
Ballou HS ,452,hs,Vocational Shared Time,8,38.83938266,-77.00097526,678,0.717,486,,,,,,,,,,,,,,,,,,,30900,,,,118700,65500,,80900,80900,947100,984900,68200,,2400000
Cardozo EC ,454,campus,Vocational Shared Time,1,38.92217286,-77.02847069,681,0.645,439,,92100,,,,,,283900,189300,94600,,,,47300,,,,283900,123400,,118700,94600,,71700,100000,53000,25000,,,,,1600000
Coolidge HS ,455,hs,Vocational Shared Time,4,38.96728457,-77.01957835,433,0.582,252,,,,,,,,,,,,,,,,,,,,117000,,,,41000,,40500,40500,,121500,68200,,428600
Roosevelt STAY ,456,,Vocational Shared Time,4,38.94360856,-77.02777641,850,,,,,,,,,,,,,,,,,,,,,,,,,,65500,,,,189300,,68200,,322900
Eastern HS ,457,hs,Vocational Shared Time,6,38.89040266,-76.97968429,783,0.596,467,,,,,,,,,,,,,,,,,,473100,,,,,,103000,,60700,60700,,,,,697500
McKinley Tech EC ,458,hs,Magnet School,5,38.91522012,-77.00412244,674,0.323,218,178700,,189300,,,94600,,,,,,,,47300,,47300,,,,,,,,91000,100000,28000,,,,,,776300
Roosevelt HS ,459,hs,Vocational Shared Time,4,38.94360856,-77.02777641,438,0.696,305,,,,,,,,,,,,,,,,,,,61700,78000,,,,43200,,66600,66600,,,68200,,384400
Ballou STAY ,462,hs,Alternative Education School,8,38.83938266,-77.00097526,578,,,,,,,,,,,,,,,,,,,,,,,,,,48500,,,,189300,,68200,,305900
Wilson HS ,463,hs,Vocational Shared Time,3,38.95015672,-77.0777757,1696,0.201,341,,,,,,,,,,,,,,,,,,,,,,,,170800,,72800,72800,,,68200,,384600
"Woodson, H.D. HS ",464,hs,Vocational Shared Time,7,38.89678662,-76.92232826,762,0.685,522,,,,,,,,,,,,,,,,,,,,39000,,,,72900,,72800,72800,180000,,68200,,505700
School-Within-School @ Goding ,466,hs,Magnet School,2,38.89812412,-77.04818647,585,0.078,46,,,,,,,,,,,,,,,,,,,,,,,,24300,,,,,,,,24300
Dunbar HS ,467,hs,Regular school,5,38.90762655,-77.01269148,628,0.658,413,,,,,,,,,,,,,,,,,,94600,,,,,,62500,299000,56600,56600,,,68200,,637800
Ellington School of the Arts ,471,hs,Magnet School,2,38.91344638,-77.07030757,541,0.214,116,,,,,,,,,,,,,,,,,,,,,,,,51500,,,,,,,,51500
Washington Met HS ,474,hs,Regular school,1,38.92043047,-77.01558101,280,,,,,,,,,,,,,,,,,,,,,,,,,,30400,,40500,40500,,,68200,,179500
Phelps ACE HS ,478,hs,Magnet School/Vocational Shared Time,5,38.90199202,-76.97189763,319,0.47,150,,,,,,,,,,,,,,,,,,,,,,,,35400,,24300,24300,,428100,,,512100
Incarcerated Youth Program ,480,,,,,,26,,,,,,,,,,,,,,,,,,,,,,,,,,10000,,8100,8100,,,,,26200
Youth Services Center ,861,campus,Alternative Education School,5,38.91213959,-76.98858584,89,,,,,,,,,,,,,,,,,,,,,,,,,,10000,,,,,,,,10000
Luke Moore Alternative HS ,884,hs,Vocational Shared Time,5,38.93227638,-76.99231633,364,,,,,,,,,,,,,,,,,,,,,,,,,,38200,,92400,92400,,,68200,,291200
CHOICE Academy ,947,hs,Alternative Education School,5,38.9135031,-77.00677594,,,,,,,,,,,,,,,,,,,,,,,,,,,10000,,,,,,,,10000
,,,,,,,45907,,20545,,1206375.274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41308300
